,city,lat,lon,maxtemp,humidity,cloudiness,windspeed,country,datetime
0,ilulissat,69.22,-51.1,30.2,80,100,8.05,GL,1607211926
1,narsaq,60.92,-46.05,30.2,92,100,1.12,GL,1607211927
2,korla,41.76,86.15,21.13,88,40,0.81,CN,1607211927
3,kapaa,22.08,-159.32,82.4,65,1,8.05,US,1607211928
4,ushuaia,-54.8,-68.3,53.6,71,75,16.11,AR,1607211928
5,bredasdorp,-34.53,20.04,62.6,88,89,6.93,ZA,1607211929
6,puerto ayora,-0.74,-90.35,72.0,89,69,5.01,EC,1607211929
7,hobart,-42.88,147.33,57.0,46,75,20.8,AU,1607211901
8,tessaoua,13.76,7.99,75.58,21,34,7.38,NE,1607211930
9,hamilton,39.18,-84.53,37.99,69,20,8.05,US,1607211930
10,port alfred,-33.59,26.89,68.18,88,84,20.29,ZA,1607211931
11,rikitea,-23.12,-134.97,77.68,78,0,14.23,PF,1607211931
12,torbay,47.67,-52.73,50.0,93,75,13.87,CA,1607211931
13,tilichiki,60.47,166.1,13.05,98,100,9.6,RU,1607211932
14,busselton,-33.65,115.33,57.99,71,49,1.01,AU,1607211932
15,mataura,-46.19,168.86,59.0,67,91,7.0,NZ,1607211932
16,galveston,29.37,-94.97,54.0,71,90,8.05,US,1607211871
17,fairbanks,64.84,-147.72,-2.2,77,90,5.82,US,1607211927
