,city,lat,lon,maxtemp,humidity,cloudiness,windspeed,country,datetime
0,east london,-33.02,27.91,72.81,79,100,11.65,ZA,1607457711
1,turukhansk,65.82,87.98,-28.86,86,52,2.33,RU,1607457763
2,hilo,19.73,-155.09,78.01,83,90,6.93,US,1607457619
3,porbandar,21.64,69.61,74.97,51,20,8.86,IN,1607457694
4,rikitea,-23.12,-134.97,76.73,78,0,16.69,PF,1607457582
5,castro,-24.79,-50.01,77.76,57,0,4.92,BR,1607457619
6,ushuaia,-54.8,-68.3,53.6,87,75,4.7,AR,1607457452
7,lavrentiya,65.58,-171.0,10.45,89,37,9.46,RU,1607457747
8,paka,4.64,103.44,77.0,88,97,3.36,MY,1607457991
9,butaritari,3.07,172.79,81.73,78,22,8.61,KI,1607457635
10,severo-kurilsk,50.68,156.12,23.77,87,100,3.74,RU,1607457633
11,cap malheureux,-19.98,57.61,75.0,83,60,7.0,MU,1607457992
12,provideniya,64.38,-173.3,14.0,66,20,8.95,RU,1607457671
13,salinas,36.68,-121.66,73.99,19,1,11.41,US,1607457933
14,nhulunbuy,-12.23,136.77,77.0,88,50,6.31,AU,1607457726
15,paamiut,61.99,-49.67,27.43,77,21,5.64,GL,1607457766
16,barrow,71.29,-156.79,-2.2,77,20,16.11,US,1607457634
17,hobart,-42.88,147.33,60.8,48,40,17.22,AU,1607457514
18,sandakan,5.84,118.12,77.0,94,20,4.56,MY,1607457993
19,mechetinskaya,46.77,40.46,25.61,92,0,17.72,RU,1607457993
20,gasa,31.5,34.47,64.99,100,46,10.36,PS,1607457994
21,bluff,-46.6,168.33,61.0,63,97,7.0,NZ,1607457581
22,katsuura,35.13,140.3,50.0,66,75,13.87,JP,1607457994
23,kavieng,-2.57,150.8,82.44,72,100,4.85,PG,1607457650
24,arraial do cabo,-22.97,-42.03,77.0,83,75,8.05,BR,1607457598
25,airai,-8.93,125.41,62.53,100,100,1.81,TL,1607457674
26,salinopolis,-0.61,-47.36,82.96,72,82,11.81,BR,1607457760
27,mataura,-46.19,168.86,61.0,63,64,7.0,NZ,1607457582
28,thompson,55.74,-97.86,35.6,93,90,8.05,CA,1607457598
29,albany,42.6,-73.97,28.0,62,34,5.01,US,1607457406
30,hammerfest,70.66,23.68,32.0,95,40,12.75,NO,1607457995
31,beloha,-25.17,45.05,67.26,69,91,18.07,MG,1607457995
32,cape town,-33.93,18.42,69.01,82,75,6.93,ZA,1607457673
33,henties bay,-22.12,14.28,62.01,91,3,5.01,NA,1607457649
34,betong,5.77,101.07,69.75,94,69,1.77,TH,1607457996
35,punta arenas,-53.15,-70.92,50.0,93,90,11.41,CL,1607457601
36,victoria,22.29,114.16,66.0,70,100,6.31,HK,1607457518
37,buzmeyin,38.05,58.21,35.6,40,90,2.24,TM,1607457997
38,dikson,73.51,80.55,-2.47,92,100,22.28,RU,1607457583
39,busselton,-33.65,115.33,62.01,84,16,5.01,AU,1607457633
40,nikolskoye,59.7,30.79,21.99,62,0,6.71,RU,1607457601
41,cherskiy,68.75,161.3,-13.58,89,100,7.14,RU,1607457759
